source	destination	disposition	evidence
threat-modeling#Checklist-0	threat-modeling#Checklist-0	corrected	the deployable-discovery command used "fd -t f Dockerfile -d 3"; fd is a dependency no other lens in the corpus requires, and an auditor without it gets an empty result that reads as "no Dockerfiles". Replaced with rg --files -g globs, which the corpus already uses
references/threat-modeling.md#L38-L52	threat-modeling#Checklist-1	preserved	the trust-boundary list is the spine of item 1; internet to servers, client to API, deployable to deployable, tenant to tenant, queue producer to consumer, build system to runtime artifact all carried across
references/threat-modeling.md#L40	threat-modeling#Checklist-1	preserved	"the single most useful concept in threat modeling" kept as the definition: a change of principal, of privilege, or of who operates the code, and explicitly not a change of folder, layer or call depth
references/threat-modeling.md#L45	threat-modeling#Checklist-1	corrected	"Authenticated user A's session to request scoped to user A" is not a crossing as written - it is the normal case. The real crossing is an authenticated principal to a request scoped to a DIFFERENT principal: impersonation, delegation, act-on-behalf-of
references/threat-modeling.md#L46	threat-modeling#Checklist-1	preserved	"One microservice to another microservice" generalized to one deployable to another, in either direction
references/threat-modeling.md#L47	threat-modeling#Checklist-1	preserved	tenant A to tenant B retained as an inventory entry in a multi-tenant system
references/threat-modeling.md#L47	threat-modeling#Scope	moved	the cross-tenant ACCESS claim is tenant-isolation-enforcement, deferred to web-and-api: a query with no visible tenant predicate is not evidence, because Postgres row-level security, a per-tenant schema or database, a pooled SET app.current_tenant, an ORM global scope or per-tenant credentials all enforce scoping invisibly to a query read. This lens records the boundary and a scope assumption and never asserts the access
references/threat-modeling.md#L48	threat-modeling#Checklist-1	corrected	"Application code to database" qualified: a boundary only where the database enforces its own authorization (row-level security, per-tenant roles, SET ROLE); otherwise the app and the database are one trust domain. Unqualified, this line puts a filler boundary in every repository
references/threat-modeling.md#L49	threat-modeling#Checklist-1	corrected	"Application code to file system" qualified to paths that are attacker-influenced or a filesystem shared with another workload
references/threat-modeling.md#L50	threat-modeling#Checklist-1	corrected	"LLM context to LLM tool output" states the crossing backwards, and describing it that way inverts the control. Replaced by the two real crossings: tool output or retrieved document to model context (untrusted INPUT entering), and model output to tool invocation or privileged action (untrusted CONTROL FLOW leaving)
references/threat-modeling.md#L50	threat-modeling#Scope	moved	the controls on both agent crossings are prompt-injection, tool-call-authority-and-mediation and rag-retrieval-authorization, all deferred to llm-and-ai; item 1 says record both, file neither
references/threat-modeling.md#L51	threat-modeling#Checklist-1	preserved	"User input to admin interface" kept and extended with admin surface to user surface inside one deployable
references/threat-modeling.md#L52	threat-modeling#Checklist-1	corrected	"Production environment to development environment" is two crossings with two different findings, and collapsing them loses one: production data reaching a lower-assurance environment, versus a lower-assurance credential or artifact reaching production. Both directions named, with an instruction to say which was found
references/threat-modeling.md#L42-L52	threat-modeling#Checklist-1	corrected	the intra-process test is added, because the source list has no rule excluding module-to-module calls: two modules in one process as the same principal with the same privilege and the same callers are ONE trust domain, and a genuine intra-process boundary requires a privilege or principal change (sandbox, deserializer, plugin host, template engine or eval, sudo or impersonation hop, sharing-context switch, queue consumer with an unauthenticated producer)
references/threat-modeling.md#L42-L52	threat-modeling#Checklist-1	corrected	every crossing must be anchored to an artifact before it enters the inventory, and the item output is a table of crossings each with its anchor and the lens that owns the control - nothing in item 1 is a finding on its own
references/threat-modeling.md#L54	threat-modeling#Checklist-1	corrected	the absolute "Every time data crosses a trust boundary, it must be re-validated" is the sentence that produces this lens most common false positive. Restated without the absolute: parse-don't-validate is strictly stronger, and the finding exists only when a second construction path that bypasses the parser can be named (model_construct, construct(, .copy(update=, a raw dict cast, unsafe, a deserializer, an ORM row hydrated directly, a test factory in production code)
references/threat-modeling.md#L56	threat-modeling#Checklist-1	preserved	the common bug (validate at the API edge, inner layers trust the outer check, someone adds a second entry point) and the defense (validate at every boundary and at least once at the most sensitive operation) carried unchanged
references/threat-modeling.md#L93-L127	threat-modeling#Checklist-2	preserved	all six attacker profiles carried across with their sophistication and volume characterizations
references/threat-modeling.md#L101	threat-modeling#Checklist-2	corrected	the field label "Defends against:" has the attacker as its grammatical subject, so the line asserts that the attacker defends against your controls. Renamed "Defeated by:" - in a brief handed to an autonomous auditor that field IS the mitigation list, and reading it backwards inverts the recommendation
references/threat-modeling.md#L106	threat-modeling#Checklist-2	corrected	same label defect at the insider profile; renamed "Defeated by:" and the attribution-logging control identified as cross-boundary-attribution-logging, this lens own topic
references/threat-modeling.md#L112	threat-modeling#Checklist-2	corrected	same label defect at the targeted-external profile; renamed "Defeated by:" and "MFA on everything important" sharpened to phishing-resistant MFA on every production path plus detection that fires on the second hop
references/threat-modeling.md#L117	threat-modeling#Checklist-2	corrected	same label defect at the supply-chain profile; renamed "Defeated by:", and "SBOM, dependency review, signing, hermetic builds" restated as pinning and lockfiles, a quarantine window on new versions, build-environment isolation, and verifying what actually ships rather than who signed it. All controls belong to cicd-and-supply-chain
references/threat-modeling.md#L122	threat-modeling#Checklist-2	corrected	same label defect at the compromised-endpoint profile; renamed "Defeated by:" and extended with an admin token scope small enough that the endpoint is not a control-plane takeover
references/threat-modeling.md#L125-L127	threat-modeling#Checklist-2	corrected	"Out of scope for most products; not worth defending against beyond basics" is both wrong and quotable for the behavioral-health, healthcare and infrastructure codebases this lens activates on. The accurate reason is that the profile adds no DISTINCT checks - every control that matters against it is already listed - so a separate profile inflates the model without changing a finding
references/threat-modeling.md#L93-L95	threat-modeling#Checklist-2	corrected	the device premise is added as a premise rather than a finding: for any client the user controls, every value it sends is attacker-chosen, every check it performs can be removed, every secret it holds is readable. The findings it implies (client-trusted-business-rules, secrets-in-browser-bundle, secrets-in-mobile-binary) belong to web-and-api and mobile-app-security
references/threat-modeling.md#L12-L22	threat-modeling#Checklist-3	preserved	the six STRIDE letters and their questions carried across in substance
references/threat-modeling.md#L14	threat-modeling#Checklist-3	corrected	"for each component / data flow / trust boundary, ask whether each of these applies" gains the N/A-with-a-one-line-reason rule and the explicit statement that the method does not require one threat per letter per component; forcing a full matrix produces findings whose only justification is the shape of the acronym
references/threat-modeling.md#L23	threat-modeling#Checklist-3	corrected	"how, what's the impact, and what's the mitigation" retained, with "mitigation" reframed as "what is missing", because the control at a crossing is usually another lens finding
references/threat-modeling.md#L25-L36	threat-modeling#Checklist-3	preserved	the share-document-by-link worked example is retained as the STRIDE illustration
references/threat-modeling.md#L30	threat-modeling#Checklist-3	corrected	L30 (T, "can the link be modified to grant broader access") and L34 (E, "can a viewer-permission link be modified to grant editor") are the same threat emitted twice - the duplicate-finding failure this corpus exists to eliminate. T is now integrity of the capability token itself (unsigned or malleable payload, truncation, duplicate parameter into the redeem handler); E is the authorization consequence reached by any means
references/threat-modeling.md#L34	threat-modeling#Checklist-3	corrected	the rule that stops the duplicate is stated explicitly: if the only path to E is through T, report one threat; two threats require two independent paths
references/threat-modeling.md#L29	threat-modeling#Checklist-3	moved	S "Depends on entropy + signing": the entropy half is csprng-and-token-entropy and is deferred to crypto-and-key-management with the file and line
references/threat-modeling.md#L31	threat-modeling#Checklist-3	preserved	R "is there a log of who accessed it via that link" kept, identified as this lens own cross-boundary-attribution-logging, and extended with whether the record survives the anonymous-to-session transition
references/threat-modeling.md#L32	threat-modeling#Checklist-3	preserved	I "can the existence of a document be inferred from the URL space" kept, extended with a differing response to a valid-but-unauthorized identifier
references/threat-modeling.md#L33	threat-modeling#Checklist-3	corrected	"Can someone request infinite link generations to exhaust storage?" - storage is rarely the bounded resource for a row of token metadata, so the instruction is to name which resource; request-count limits are rate-limiting-and-request-quotas, web-and-api's
references/threat-modeling.md#L27-L36	threat-modeling#Checklist-3	moved	the worked example own defect (a redeem handler deriving the grant from a client-supplied perm parameter) resolves to one handler in one file, so under Gate 2 it is handed to web-and-api as authz-object-level; what stays here is the boundary statement and the R answer
references/threat-modeling.md#L66-L89	threat-modeling#Checklist-4	preserved	the attack tree and its three paths (direct database access, application layer, supply chain) carried across, including credentials from a config file, from the environment and from git history
references/threat-modeling.md#L71	threat-modeling#Checklist-4	preserved	goal restated as "exfiltrate patient records from the primary database"; same goal shape, no employer, tenant or product name
references/threat-modeling.md#L70-L89	threat-modeling#Checklist-4	corrected	every internal node now carries an explicit [AND] or [OR] label. The source tree has none, and the two are drawn with identical glyphs while the feasibility instruction differs for each, so an unlabelled tree cannot be evaluated
references/threat-modeling.md#L83	threat-modeling#Checklist-4	preserved	"Mass export endpoint with broken authz" kept as a bulk-export endpoint with a weaker check than the item endpoint
references/threat-modeling.md#L91	threat-modeling#Checklist-4	corrected	"For each leaf, evaluate feasibility and ask: is it actually defended against?" is straightforwardly wrong on an AND node, where defending EITHER child kills the subtree. Replaced with cost propagation: OR is as feasible as its cheapest child, AND as hard as its hardest child, and the highest-leverage mitigation is the cheapest cut on an AND node
references/threat-modeling.md#L91	threat-modeling#Checklist-4	intentionally_removed	"90% of effort is on one path while another is wide open" - the observation is kept in words and the number deleted as invented, with an explicit instruction not to attach a percentage to any of it
references/threat-modeling.md#L78-L79	threat-modeling#Checklist-4	corrected	"From env vars (compromise a host)" and "Pivot from compromised app server" sit under one AND but are both satisfied by the single event app-server compromise. Named as a single-event compromise wearing a conjunction clothes, with an instruction to annotate every leaf with its precondition and check for repeats across an AND branches before pricing it as hard
references/threat-modeling.md#L85-L88	threat-modeling#Checklist-4	corrected	the precondition leaves (backdoored dependency, compromised CI pipeline, compromised admin laptop) are not findings in the reviewed system and no in-repo patch exists for them. Each becomes a blast-radius statement naming the in-repo control that IS the finding: credential lifetime, admin token scope, absence of a second factor on the production path, a service account that is also the deploy account
references/threat-modeling.md#L18	threat-modeling#Checklist-5	corrected	STRIDE Repudiation parenthetical "(insufficient audit)" is expanded into the owned topic cross-boundary-attribution-logging: after an action crosses a boundary, can it still be attributed to the human or service that caused it
references/threat-modeling.md#L142	threat-modeling#Checklist-5	corrected	"Service: low-privilege service to high-privilege service" supplies the service-token-collapse shape: the inbound request is authenticated as a user, the outbound internal call carries only a service credential, and downstream every action looks like the service
references/threat-modeling.md#L152-L155	threat-modeling#Checklist-5	corrected	the impersonation and asynchronous-hop shapes are added, with the instruction to grep for the propagation AND for its absence, and to name the FIRST call after which the actor identity no longer exists as the finding location
threat-modeling#Checklist-5	threat-modeling#Checklist-5	corrected	the asynchronous-hop instruction named literals (traceparent, correlation_id, actor_id, the queue entry-point decorators) with no detector, so nothing demonstrated the absence check firing. Added a producer-side detector: an enqueue call carrying the payload only, versus the same call carrying actorId, actorScope and traceparent
references/threat-modeling.md#L18	threat-modeling#Scope	moved	whether a REGULATION requires a record-level read audit of PHI, and any severity uplift for it, are phi-access-audit-controls and phi-severity-uplift, deferred to hipaa-and-phi; item 5 establishes only whether the identity survives the hop
references/threat-modeling.md#L152-L155	threat-modeling#Checklist-6	preserved	the persistence and lateral-movement questions ("how does the attacker maintain access", "how does the attacker move from one server to another") become pivot feasibility, with each hop anchored to an artifact
references/threat-modeling.md#L79	threat-modeling#Checklist-6	corrected	"Pivot from compromised app server" is generalized into the four hop shapes that show up in real repositories: a credential in the reachable component that authorizes the next, one credential shared across trust zones, a workload whose identity is stronger than its exposure, and a build system that can write to production
threat-modeling#Checklist-6	threat-modeling#Checklist-6	corrected	the shared-credential instruction named the literal DATABASE_URL and told the auditor to grep for the value name repeated, but no detector demonstrated it, while the severity table grades it High when one of the two zones is internet-reachable. Added a compose detector where one interpolation appears in a port-publishing service and in a back-office service, against a nomatch where the two zones hold separate roles
references/threat-modeling.md#L152-L155	threat-modeling#Checklist-6	corrected	boundary with attack-chaining stated: that lens composes PROVEN findings by candidate_id after fan-out, so this item emits with component_finding_ids empty and never pre-elevates a severity on a chain constructed here, because chain elevation happening in both places double-counts one path
references/threat-modeling.md#L144-L150	threat-modeling#Checklist-7	preserved	every exfiltration route in the source survives in the route table: direct database access, mass-export endpoints, backups and log files, out-of-band DNS, email and third-party integrations, and side channels (timing, error messages, response sizes)
references/threat-modeling.md#L144-L150	threat-modeling#Checklist-7	corrected	each route gains what establishes it from a repository - pg_dump, mysqldump, mongodump, COPY .* TO, SELECT .* INTO OUTFILE, kind: CronJob, celery beat, a log-forwarder config, an APM DSN, a bucket or SFTP host literal - so a route cannot be asserted without an artifact
references/threat-modeling.md#L144-L150	threat-modeling#Checklist-7	corrected	three things are now recorded per route: what data volume it can move, who can trigger it, and whether the destination is in the set the system otherwise contacts. A route that moves one record on a user action is a different finding class from one that moves the table on a schedule
references/threat-modeling.md#L148	threat-modeling#Checklist-7	moved	"Backup files, log files" - the CI-secret handling in the scheduled-export example is cicd-and-supply-chain and the destination bucket configuration is cloud-and-iac; only the egress ROUTE is this lens
references/threat-modeling.md#L38-L64	threat-modeling#Checklist-8	corrected	architecture-trust-design-gaps is authored as the highest-yield item, since the source has no equivalent: trust derived from network position, boundaries the design asserts but the code does not create, and shared-fate components. These are design decisions and therefore genuinely have no other owner
references/threat-modeling.md#L63	threat-modeling#Checklist-8	corrected	"Mark which arrows cross trust boundaries" becomes the claim-versus-enforcement procedure: find the claim ("internal only", "the gateway authenticates every request", "the mesh enforces mTLS"), locate the artifact that enforces it, and if none exists the gap between the asserted and the created boundary is the finding. Quote the claim, name its file, state what you searched for and did not find
docs/design/2026-07-26-recon-punch-list.md#L1531-L1538	threat-modeling#Checklist-8	moved	the NetworkPolicy absence itself is network-exposure-and-segmentation, cloud-and-iac; what is filed here is narrower - the design asserted a boundary the deployment does not create, so a control elsewhere was priced as if the boundary existed
references/threat-modeling.md#L38-L64	threat-modeling#Checklist-8	corrected	grep-for-the-absence is added because the dangerous default writes no literal: a compose file with no networks key puts every service on one network, and a manifest tree with Deployment objects and zero NetworkPolicy objects is default-allow. Both are counted, not string-matched
references/threat-modeling.md#L38-L64	threat-modeling#Checklist-8	corrected	the position-based-trust greps carry an explicit instruction to read what was matched, because the same strings appear in code that strips or REJECTS the header, which is the opposite finding
references/threat-modeling.md#L155	threat-modeling#Checklist-9	corrected	"even if prevention fails, detection can limit damage" is narrowed to the only claim a repository supports: on the path the attacker takes, does the system emit anything at all. "Would be detected" is prohibited outright; the required phrasing is "an event is emitted at file:line; whether it is alerted on was not verifiable"
references/threat-modeling.md#L155	threat-modeling#Checklist-9	corrected	the two concrete checks are authored: deny paths (an authorization failure that raises and returns with no event, so enumeration and credential stuffing present as a stream of nothing) and success paths on sensitive operations (bulk export, permission grant, impersonation, credential rotation, configuration change)
docs/design/2026-07-26-recon-punch-list.md#L218	threat-modeling#Checklist-9	corrected	the MITRE ATT&CK punch-list item: the framework was advertised and used only as prose. Technique IDs are now cited, scoped to the output of items 6, 7 and 9 - the only output a detection or IR team consumes - with a repository-anchor to tactic to technique table
docs/design/2026-07-26-recon-punch-list.md#L218	threat-modeling#Checklist-9	corrected	three rules bound the annotation: it never establishes ownership, severity or reachability and never appears in a condition that earns a severity row; annotate only what an artifact anchors (do not tag T1611 because containers exist); record the matrix version consulted, since identifiers are stable across versions and names and sub-technique structure are not
docs/design/2026-07-26-recon-punch-list.md#L218	threat-modeling#Checklist-9	corrected	the identifier is placed where it survives merge: the candidate-finding schema has cwe and no ATT&CK field, and an unrecognized key is dropped silently, so the ID is written as a leading tag on attack in a fixed greppable shape and cwe stays whatever the underlying weakness is
SKILL.md#L73	threat-modeling#Checklist-9	preserved	"MITRE ATT&CK - attacker tactics, useful for chaining analysis" is now true of this lens rather than advertised and unused
docs/design/2026-07-26-recon-punch-list.md#L218	threat-modeling#frontmatter	moved	REPORTED TO THE CONTROLLER, NOT APPLIED: the body now cites technique IDs, so frameworks must gain mitre-attack (it currently reads [stride, attack-trees]). Frontmatter is outside this task edit scope; mitre-attack is already an established identifier in the corpus via attack-chaining
docs/design/2026-07-26-recon-punch-list.md#L218	threat-modeling#Checklist-9	corrected	UPSTREAM IMPRECISION REPORTED, not followed and not silently diverged from: the punch list alternative remedy "drop mitre-attack from frameworks" is not executable for this lens, whose frameworks never contained mitre-attack; the advertisement is at SKILL.md#L73. The other branch (cite technique IDs) was taken
threat-modeling#Checklist-9	threat-modeling#Checklist-9	corrected	T1071.004 Application Layer Protocol: DNS was filed under Exfiltration (TA0010). Its tactic is Command and Control (TA0011), so a detection team keyed on the tactic would not find it. Split into two rows, the C2 row labelled as such, and where a DNS channel carries data out the Exfiltration mapping is a sub-technique of T1048 - the parent is cited because the sub-technique NAME was not verifiable here, per the refuse-to-guess rule
threat-modeling#Checklist-9	threat-modeling#Checklist-9	corrected	the technique table gained a header clause applying item 9 rule 3 at the point of use: the ID is the load-bearing half, the names are as of the version the auditor records, and a name mismatch is not licence to change the ID
references/threat-modeling.md#L173-L206	threat-modeling#Checklist-10	corrected	the narrative output format is not an output contract here - a second contract cannot be merged or deduplicated with the other thirteen lenses. Every narrative element is mapped onto a candidate-finding schema field in a table: system understanding, boundaries, attacker profile, attack path, vulnerability location, missing mitigations, severity rationale, prioritized recommendations
docs/design/2026-07-26-red-team-audit-oss-design.md#L228-L253	threat-modeling#Checklist-10	moved	the candidate-finding schema is the destination for the source output format; attack and cwe are the two fields the ATT&CK tag interacts with, and the lens is told not to invent a field
references/threat-modeling.md#L181-L184	threat-modeling#Checklist-10	corrected	"Trust boundaries identified" becomes the boundary inventory table attached once to the run, explicitly not one finding per boundary
references/threat-modeling.md#L169	threat-modeling#Checklist-10	corrected	"Rank by likelihood x impact" in one number would silently overwrite the pipeline severity model. Impact alone drives claimed_impact_severity, which is never overwritten; likelihood, reachability and capping enter later as effective_severity at triage, where they can be seen and argued with
references/threat-modeling.md#L196	threat-modeling#Checklist-10	corrected	"Severity rationale: why this severity given likelihood and impact" becomes the specific condition from ## Severity calibration that the finding satisfies
references/threat-modeling.md#L171	threat-modeling#Checklist-10	moved	"Recommend prioritized fixes with concrete patches where the code is visible": ordering falls out of effective_severity and concrete patches are Phase 4 of the pipeline, not a lens output
references/threat-modeling.md#L204-L205	threat-modeling#Checklist-10	moved	the "## Patches" block for High and Critical moves to Phase 4, where a patch must make its own proof pass
references/threat-modeling.md#L208	threat-modeling#Checklist-10	intentionally_removed	"This format complements the per-finding format in the main SKILL.md" - the two-format arrangement is exactly what the schema mapping replaces, so keeping the sentence would reintroduce the second output contract
docs/plans/2026-07-26-phase-a-lens-registry.md#L1540	threat-modeling#Checklist-10	corrected	the second required output is authored: Assumptions to confirm, one line each with the threat it would become, the exact verification question or command, and the finding plus owning lens if it turns out false. Required on every run including runs with zero findings, and an empty list on a system whose deployment is not in the checkout is evidence the anchor gate was not applied
docs/design/2026-07-26-red-team-audit-oss-design.md#L271	threat-modeling#Checklist-10	corrected	reachable_from was missing from the output mapping although the schema requires it and unknown caps effective_severity at Medium at triage. Added as a row naming what to put there - the internet-facing route, the queue producer, the scheduled trigger - and stating that on a composite-pivot finding the cap silently erases hop 1
docs/plans/2026-07-26-phase-a-lens-registry.md#L1540	threat-modeling#Severity-calibration	corrected	this is the only lens whose source carries no severity calibration at all; the whole section is authored. Three gates in order (anchored, not a single endpoint, not another lens control), a tier cap, a twelve-row severity table and two rules that override the table
docs/plans/2026-07-26-phase-a-lens-registry.md#L1540	threat-modeling#Severity-calibration	corrected	the anchor rule is a hard gate rather than a downgrade mechanism: every threat cites a specific file with a line, a specific configuration key and its value, or an explicitly stated architectural assumption. An un-anchored threat is not a finding - it moves to Assumptions to confirm with no severity, no candidate_id and no line in the findings table
docs/plans/2026-07-26-phase-a-lens-registry.md#L1540	threat-modeling#Severity-calibration	corrected	Gate 2: a threat resolving to one endpoint, handler, function or file is not a threat-model finding at all and is handed to the lens that owns the unit, usually web-and-api with the file and line. A threat-model finding is about a relationship - two or more components, a crossing, a shared resource, or a path
docs/plans/2026-07-26-phase-a-lens-registry.md#L1540	threat-modeling#Severity-calibration	corrected	every severity row names the artifact that establishes its condition, and the preamble states that if the named artifact cannot be found the row does not apply and the threat goes to Assumptions to confirm - so no condition can silently downgrade a finding forever. The Critical composite-pivot row requires three artifacts (an exposure artifact, a credential artifact reachable at hop 1, a data artifact) and drops to High if any hop rests on an assumption
docs/design/2026-07-26-red-team-audit-oss-design.md#L369-L376	threat-modeling#Severity-calibration	moved	the project tier table caps T0 static reasoning at Medium, so the severity column is read as claimed_impact_severity and effective_severity reaches High or Critical only when a T1 proof lands or triage elevates on another lens proven finding
docs/design/2026-07-26-red-team-audit-oss-design.md#L170	threat-modeling#Severity-calibration	moved	severity_floor is presentational: it orders this lens findings and never suppresses one
threat-modeling#Proof-recipes	threat-modeling#Severity-calibration	corrected	STALE CONSUMER: the tier-cap paragraph said "Two of this lens nine topics have no viable proof at all" while ## Proof recipes names five in its headline and five again in the Not-provable list. Corrected to five with a cross-reference, since understating it makes the every-run UNPROVEN caveat look narrower than it is
docs/plans/2026-07-26-phase-a-lens-registry.md#L1540	threat-modeling#Severity-calibration	corrected	two rules that override the table are authored, both anti-clearance: never clear a threat because a control might exist somewhere you cannot see (an unverified control is a hypothesis, and in this lens a wrong clearance is permanent because nobody re-opens a closed item), and never let the anchor gate become a severity discount (an un-anchored threat written into the table at Low is the failure the gate exists to prevent)
docs/design/2026-07-26-recon-punch-list.md#L1586	threat-modeling#Known-false-positives	preserved	false positive 1, parse-don't-validate against an inner function receiving an already-parsed domain type, with the bypass-path survivor list carried across
docs/design/2026-07-26-recon-punch-list.md#L1586	threat-modeling#Known-false-positives	corrected	a non-clearance is added, because the entry as written could close a real finding: a boundary where the TYPE is validated and the AUTHORITY is not. A well-formed UserId says nothing about whether this caller may act on that user
docs/design/2026-07-26-recon-punch-list.md#L1587	threat-modeling#Known-false-positives	preserved	false positive 2, module-to-module calls counted as trust boundaries, with the privilege-or-principal-change requirement carried across
docs/design/2026-07-26-recon-punch-list.md#L1587	threat-modeling#Known-false-positives	corrected	non-clearance added: a process boundary that looks internal because the modules share a repository. A monorepo containing two deployables that talk over the network has a real crossing, and folder adjacency is not evidence against it
docs/design/2026-07-26-recon-punch-list.md#L1588	threat-modeling#Known-false-positives	preserved	false positive 3, attack-tree leaves reported as findings, with the blast-radius statement as what survives
docs/design/2026-07-26-recon-punch-list.md#L1588	threat-modeling#Known-false-positives	corrected	non-clearance added: an in-repo artifact that makes the precondition CHEAPER - a committed credential, a workflow triggerable by a fork, a long-lived token - is a finding in its own right and belongs to its owning lens
docs/design/2026-07-26-recon-punch-list.md#L1589	threat-modeling#Known-false-positives	preserved	false positive 4, STRIDE completeness findings, with N/A-plus-a-one-line-reason as what survives
docs/design/2026-07-26-recon-punch-list.md#L1589	threat-modeling#Known-false-positives	corrected	non-clearance added: Repudiation on any surface that performs a privileged or irreversible action. "Read-only" is a claim about the endpoint that was read, not about the component
docs/design/2026-07-26-recon-punch-list.md#L1590	threat-modeling#Known-false-positives	preserved	false positive 5, capability URLs, with the survivor list (entropy or predictable generator, enumerable identifier, permission level unsigned in the URL, no expiry on documented-sensitive data, token leaking through analytics, server access logs or link unfurling)
docs/design/2026-07-26-recon-punch-list.md#L1590	threat-modeling#Known-false-positives	corrected	UPSTREAM ERROR (fourth error, reported not silently followed): the punch list lists Referer as an unconditional leak channel for a capability-URL token, and the same document at L1597 states that Referrer-Policy: strict-origin-when-cross-origin is now the browser default. Under that default only scheme, host and port are sent off-origin, so a token in the path or query does not reach a third party. The survivor is kept with its condition named - an explicit unsafe-url or no-referrer-when-downgrade policy, or a non-browser client - and the other three channels are marked unconditional
docs/design/2026-07-26-recon-punch-list.md#L1590	threat-modeling#Known-false-positives	corrected	the highest-risk clearance in the entry is made explicit: most of the survivors resolve to a single redeem handler, so under Gate 2 they are not this lens findings at all. "It is a capability URL" clears the architecture question and clears nothing about the handler
docs/design/2026-07-26-recon-punch-list.md#L1591	threat-modeling#Known-false-positives	preserved	false positive 6, redundant enforcement flagged as inconsistency, with disagreeing checks and outer-check-only routes as what survives
docs/design/2026-07-26-recon-punch-list.md#L1591	threat-modeling#Known-false-positives	corrected	non-clearance added: two checks that agree today and are maintained in two places with no shared source is a durability observation at Info, and must not be written as an inconsistency finding
docs/design/2026-07-26-recon-punch-list.md#L1624	threat-modeling#Known-false-positives	preserved	rejected candidate: "No authentication between microservices" / "Spoofing: service A can be impersonated" deduplicated to web-and-api authentication-and-credential-flows, with the reason recorded - writing it here would teach an auditor to dismiss service-to-service spoofing generally instead of routing it. The correct output when the mesh, ingress and manifests are out of the checkout is an explicit assumption at Info
docs/design/2026-07-26-recon-punch-list.md#L1625	threat-modeling#Known-false-positives	preserved	rejected candidate: "Tenant A can reach tenant B's data" inferred from a query with no visible tenant predicate, deduplicated to web-and-api tenant-isolation-enforcement, which owns the enforcement mechanisms the inference ignores
threat-modeling#Known-false-positives	threat-modeling#Known-false-positives	intentionally_removed	rejected candidate authored: "a loopback or same-pod hop is not a trust boundary". Partly true - containers in one pod share a network namespace - but rejected as a suppression rule because it fails for hostNetwork: true, for a service-name hop that only looks like localhost, for a shared host running unrelated workloads, and for any hop whose ends run as different principals. The durable half is already the intra-process test in Checklist item 1, stated as a privilege-change question rather than a network-distance one
