source	destination	disposition	evidence
references/cloud-and-iac.md#L17	cloud-and-iac#Severity calibration	moved	inline vs managed policies moved to the Low CIS-hygiene row; per punch list section 4 rejected candidates this is a severity cap, not a false-positive rule
references/cloud-and-iac.md#L19-L23	cloud-and-iac#Checklist item 1	corrected	Azure block preserved and de-staled: Owner/Contributor scope, service principal vs managed identity, Conditional Access; "Azure AD" renamed Microsoft Entra ID (July 2023) per punch list item 39
references/cloud-and-iac.md#L26	cloud-and-iac#Checklist item 1	corrected	GCP "primitive roles" renamed basic roles (roles/owner, roles/editor, roles/viewer) per punch list item 39
references/cloud-and-iac.md#L27-L29	cloud-and-iac#Checklist item 1	preserved	service-account JSON keys, serviceAccountUser/TokenCreator as escalation, default Compute SA with Editor on GKE nodes
references/cloud-and-iac.md#L32	cloud-and-iac#Checklist item 1	preserved	role chaining without conditions survives as the escalation-action list plus the condition-judgement rule
references/cloud-and-iac.md#L33	cloud-and-iac#Checklist item 1	corrected	"break glass admin roles never reviewed" restated as the unused-access review finding with named controls; review cadence itself is not repository-visible
references/cloud-and-iac.md#L34	cloud-and-iac#Checklist item 1	corrected	per punch list item 39: Entra PIM is JIT elevation and detects nothing. Replaced by IAM Access Analyzer unused access findings, Entra Permissions Management (CIEM) + access reviews, IAM Recommender / Policy Analyzer
references/cloud-and-iac.md#L39	cloud-and-iac#Checklist item 3	corrected	sensitive-port list preserved and extended (9300, 2375/2376, 5984, 11211, all-ports forms) and ::/0 added; "depending on what is behind" replaced by a checkable attachment test
references/cloud-and-iac.md#L40	cloud-and-iac#Severity calibration	corrected	default VPC used for production: the real defect is map_public_ip_on_launch on its subnets, not the VPC’s existence; graded Low
references/cloud-and-iac.md#L41	cloud-and-iac#Checklist item 17	moved	VPC flow logs folded into the logging item rather than the network item; the finding is a missing log, not a missing network control
references/cloud-and-iac.md#L42	cloud-and-iac#Severity calibration	moved	NACLs left at defaults moved to the Low CIS-hygiene row per punch list section 4 rejected candidates
references/cloud-and-iac.md#L43	cloud-and-iac#Checklist item 3	preserved	public subnets with instances that do not need public IPs, restated with the associate_public_ip_address artifact
references/cloud-and-iac.md#L45-L47	cloud-and-iac#Checklist item 3	corrected	Azure NSGs restated with the checkable artifact source_address_prefix = "*"/"Internet" and rule priority; private endpoints kept
references/cloud-and-iac.md#L50-L52	cloud-and-iac#Checklist item 3	preserved	GCP auto-mode default network, 0.0.0.0/0 firewall rules, VPC Service Controls
references/cloud-and-iac.md#L55	cloud-and-iac#Checklist item 3	corrected	type: LoadBalancer finding now requires checking the internal-LB annotation before filing
references/cloud-and-iac.md#L56	cloud-and-iac#Checklist item 3	corrected	NetworkPolicy absence restated as an absence check plus the CNI-enforcement caveat (Flannel does not enforce them)
references/cloud-and-iac.md#L57	cloud-and-iac#Checklist item 9	preserved	privileged, hostNetwork, hostPID, hostIPC
references/cloud-and-iac.md#L58	cloud-and-iac#Known false positives 5	corrected	runAsUser unset does not mean root; report "no enforcement mechanism" (runAsNonRoot / PSA restricted) instead, with the numeric-USER caveat
references/cloud-and-iac.md#L59	cloud-and-iac#Checklist item 9	corrected	allowPrivilegeEscalation defaults true: default-ness recorded as the reason the field is missing, explicitly not as a clearance (also a rejected candidate)
references/cloud-and-iac.md#L60	cloud-and-iac#Checklist item 9	preserved	capabilities drop ALL, with seccompProfile and readOnlyRootFilesystem added as the other restricted-profile requirements
references/cloud-and-iac.md#L61	cloud-and-iac#Checklist item 9	preserved	automountServiceAccountToken defaults true, so an unset field means the pod holds an API credential
references/cloud-and-iac.md#L65	cloud-and-iac#Checklist item 16	corrected	per punch list item 40: kubectl describe renders secretKeyRef as <set to the key ...> and does not print the value. Replaced with /proc/<pid>/environ, child inheritance, core dumps, kubectl exec -- env, and non-rotatability. The docker inspect half is kept as true
references/cloud-and-iac.md#L66	cloud-and-iac#Checklist item 15	corrected	state-file secrets restated with the checkable artifacts: tracked *.tfstate, state-bucket access control and BPA, use_lockfile or dynamodb_table. Round 2: `encrypt` demoted from an at-rest claim to the narrower CMK claim, because omitting it still lands the object in a bucket with default encryption
references/cloud-and-iac.md#L67	cloud-and-iac#Checklist item 16	corrected	CloudFormation NoEcho restated as an absence sweep: parameters with credential-shaped names and no NoEcho: true
references/cloud-and-iac.md#L68	cloud-and-iac#Checklist item 16	corrected	etcd encryption is an API-server flag invisible to this audit; restated as an explicit undetermined-in-both-directions statement rather than a finding or a clearance
references/cloud-and-iac.md#L69	cloud-and-iac#Checklist item 16	preserved	secret fetched at boot then written to disk or exported into the environment, with the entrypoint-script greps
references/cloud-and-iac.md#L70	cloud-and-iac#Checklist item 16	corrected	"secret rotation: is there a plan?" restated as the checkable artifact aws_secretsmanager_secret_rotation / Key Vault rotation policy, graded Low with a named escalation
references/cloud-and-iac.md#L71	cloud-and-iac#Checklist item 2	moved	short-lived tokens (Workload Identity, IRSA) moved to the federated-trust item, where the sub/aud conditions that make them safe are checked
references/cloud-and-iac.md#L76	cloud-and-iac#Known false positives 7	corrected	"public buckets - verify intent" was too vague to act on; replaced by the checkable CloudFront-OAC shape (Service principal + AWS:SourceArn) and three named surviving findings
references/cloud-and-iac.md#L77	cloud-and-iac#Checklist item 4	corrected	INVERSION 1 (punch list section 1 item 5): BPA is a backstop overriding bucket policies and ACLs, never the reverse. Restated as BPA disabled or absent - aws_s3_account_public_access_block / aws_s3_bucket_public_access_block missing or any of the four flags false - plus the April 2023 default that narrows the finding
references/cloud-and-iac.md#L78	cloud-and-iac#Known false positives 4	corrected	since January 2023 S3 SSE-S3 is unconditional and Azure/GCS have no off switch; reframed as the narrower CMK claim requiring a named classification or contract clause
references/cloud-and-iac.md#L79	cloud-and-iac#Checklist item 18	moved	versioning + MFA delete folded into backup and deletion-protection checks
references/cloud-and-iac.md#L80	cloud-and-iac#Checklist item 4	preserved	cross-account bucket-policy principals: read the account id and say whose it is
references/cloud-and-iac.md#L81	web-and-api#authz-object-level	moved	pre-signed URL: per punch list section 4 rejected candidates the durable finding (URL minted from a user-controlled key with no ownership check) is web-and-api’s IDOR; the STS-lifetime fact is a severity downgrade recorded here
references/cloud-and-iac.md#L82	cloud-and-iac#Checklist item 4	preserved	public listing vs public get: s3:ListBucket to an anonymous principal turns the bucket into an index of every key
references/cloud-and-iac.md#L85	cloud-and-iac#Checklist item 6	corrected	unencrypted EBS/managed disks restated with the artifacts that can actually be false (encrypted = false, storage_encrypted = false, at_rest_encryption_enabled = false)
references/cloud-and-iac.md#L86	cloud-and-iac#Checklist item 6	corrected	Round 2: the source artifacts were unfireable. aws_snapshot_create_volume_permission has no group argument and aws_ami has no settable public argument. Replaced with aws_ami_launch_permission group = "all" (the real literal), a foreign account_id on the snapshot permission, and an out-of-band modify-snapshot-attribute --group-names all
references/cloud-and-iac.md#L89	cloud-and-iac#Checklist item 3	preserved	RDS / Cloud SQL / Azure SQL with public access enabled, graded Critical when paired with an open engine port
references/cloud-and-iac.md#L90	cloud-and-iac#Checklist item 8	moved	"no TLS required for connections" moved to the transport-enforcement item with the parameter-group and require_ssl artifacts
references/cloud-and-iac.md#L91	cloud-and-iac#Checklist item 18	preserved	no automated backups, or backups in the same account/region as the primary
references/cloud-and-iac.md#L92	cloud-and-iac#Checklist item 18	corrected	per punch list section 4 rejected candidates: an unencrypted replica of an encrypted managed source is forbidden by the platform, so the check is redirected at self-managed replication, logical dumps and export targets
references/cloud-and-iac.md#L97	cloud-and-iac#Checklist item 12	corrected	base-image CVEs: the finding is "no scanning in the image build path" unless a scanner actually ran; do not report a CVE list you did not produce
references/cloud-and-iac.md#L98	cloud-and-iac#Checklist item 11	corrected	"containers running as root" restated as the absence of a USER instruction, with the numeric-UID note and cross-reference to false positive 5
references/cloud-and-iac.md#L99-L100	cloud-and-iac#Checklist item 11	preserved	latest tag in production and image not pinned by digest, extended to every multi-stage FROM and to tag-only references
references/cloud-and-iac.md#L101	cloud-and-iac#Checklist item 11	corrected	build secrets in layers: RUN curl | sh is not automatically a finding (punch list section 4 rejected candidates) - discriminators are an unpinned URL, no checksum, secrets in the environment, no set -o pipefail; RUN --mount=type=secret is the safe artifact
references/cloud-and-iac.md#L102-L104	cloud-and-iac#Severity calibration	moved	multi-stage build, HEALTHCHECK and USER hygiene moved to the Low CIS row, carrying the fact that Kubernetes ignores HEALTHCHECK and uses probes
references/cloud-and-iac.md#L105	cloud-and-iac#Checklist item 11	corrected	.dockerignore absence conditioned on a broad COPY/ADD existing, per the rejected-candidate reasoning
references/cloud-and-iac.md#L108	cloud-and-iac#Checklist item 14	preserved	Lambda env vars containing secrets, with the state-file consequence added
references/cloud-and-iac.md#L109-L111	cloud-and-iac#Checklist item 14	preserved	timeout as DoS amplifier, over-broad function role, no reserved concurrency
references/cloud-and-iac.md#L112	cloud-and-iac#Checklist item 14	corrected	public function URLs restated with every artifact: authorization_type = "NONE", AuthType: NONE, authLevel: anonymous, --allow-unauthenticated, allUsers on Cloud Run - and the requirement to read the handler before filing
references/cloud-and-iac.md#L115	cloud-and-iac#Checklist item 5	corrected	IMDSv1 restated as an absence sweep: no metadata_options block permits v1, so http_tokens = "optional" is only the explicit form
references/cloud-and-iac.md#L116	cloud-and-iac#Checklist item 5	corrected	metadata reachable from a container workload. Round 2: the hop-limit condition was inverted - hop limit >= 2 exposes ordinary CNI-networked pods (the EKS default), while a hostNetwork pod reaches IMDS at any hop limit. AWS_EC2_METADATA_DISABLED removed as a reachability control (SDK-only)
references/cloud-and-iac.md#L117	cloud-and-iac#Checklist item 11	moved	SSH keys baked into AMIs folded into image-content checks; the AMI build is the same artifact class as a Dockerfile
references/cloud-and-iac.md#L118	cloud-and-iac#Checklist item 12	moved	"no patch management strategy" restated as the image rebuild cadence behind a digest pin, which is repository-visible
references/cloud-and-iac.md#L122-L126	cloud-and-iac#Checklist item 17	preserved	CloudTrail/Activity/Audit Log existence, cross-account archive, log file validation, GuardDuty/Defender/SCC, alerting on root and IAM changes
references/cloud-and-iac.md#L127	privacy-and-data-protection#retention-lawfulness-and-deletion-completeness	moved	log retention: the number is reported as a fact here, and whether it satisfies a regulatory minimum is hipaa’s or privacy’s call. The source’s "HIPAA 6 years" claim is not restated in this lens
references/cloud-and-iac.md#L131-L132	cloud-and-iac#Checklist item 15	corrected	state backend locking restated as a real absence (use_lockfile / dynamodb_table are genuinely not default). Round 2: backend encryption dropped as an at-rest absence sweep - it repeated the January-2023 SSE inference that item 6 and false positive 4 already correct
references/cloud-and-iac.md#L133	cloud-and-iac#Checklist item 15	preserved	sensitive = true on outputs, as an absence sweep
references/cloud-and-iac.md#L134-L135	cloud-and-iac#Checklist item 15	preserved	local state in production; provider blocks with hardcoded credentials (the literal itself defers to crypto)
references/cloud-and-iac.md#L136	cloud-and-iac#Checklist item 15	corrected	per punch list section 1 item 6: prevent_destroy is a lifecycle meta-argument defaulting to false, so the string almost never appears. Restated as the absence of lifecycle { prevent_destroy = true } on named stateful resources, graded Low/Medium
references/cloud-and-iac.md#L137	cloud-and-iac#Checklist item 15	preserved	modules from untrusted sources, restated as a branch ref vs tag/commit check
references/cloud-and-iac.md#L138	cicd-and-supply-chain#privileged-deploy-gate	moved	terraform apply -auto-approve in CI without a review gate is cicd’s deploy-gate topic
references/cloud-and-iac.md#L143	cloud-and-iac#Checklist item 10	preserved	ClusterRoles with * verbs / * resources / * apiGroups
references/cloud-and-iac.md#L144	cloud-and-iac#Checklist item 10	corrected	bindings to system:authenticated / system:unauthenticated extended with system:serviceaccounts and cluster-admin on the roleRef; the binding is half the finding
references/cloud-and-iac.md#L145	cloud-and-iac#Checklist item 10	corrected	"tokens with no expiry (pre-1.22)" is a version note, not a check: bound tokens are the default since 1.22 and auto-created token Secrets ended in 1.24. Replaced by the live artifact - a hand-written Secret of type kubernetes.io/service-account-token
references/cloud-and-iac.md#L146	cloud-and-iac#Checklist item 10	corrected	per punch list section 1 item 6: serviceaccounts/tokenrequest is not an RBAC resource string; the subresource is serviceaccounts/token. Added the omitted escalation grants as a verb-by-verb table
references/cloud-and-iac.md#L149	cloud-and-iac#Checklist item 10	corrected	per punch list section 1 item 6: PodSecurityPolicy was removed in Kubernetes 1.25, so "PSP not enforced" cannot fire. Replaced by PSA label presence and value, and by admission engines including their audit-only modes
references/cloud-and-iac.md#L150	cloud-and-iac#Checklist item 9	corrected	securityContext absent restated as an absence sweep over workload kinds, with the specific fields whose default is the unsafe one
references/cloud-and-iac.md#L151	cloud-and-iac#Checklist item 9	corrected	hostPath ranking corrected: dockershim was removed in Kubernetes 1.24, so /run/containerd/containerd.sock and /run/crio/crio.sock rank first and /var/run/docker.sock is kept last for Compose and DinD hosts
references/cloud-and-iac.md#L152	cloud-and-iac#Checklist item 16	corrected	see the L65 row: the stated kubectl describe leak mechanism was false and is replaced
references/cloud-and-iac.md#L155	cloud-and-iac#Checklist item 10	corrected	"no OPA Gatekeeper / Kyverno" extended to the case that matters more: an engine present but in audit-only mode, which reads as done to a reviewer counting artifacts
references/cloud-and-iac.md#L156	cloud-and-iac#Checklist item 11	moved	imagePullPolicy: Always folded into digest pinning per punch list section 4 rejected candidates - it earns its keep only for mutable tags
references/cloud-and-iac.md#L157	cloud-and-iac#Checklist item 13	corrected	per punch list item 38: "Notary" is Notary v1 / Docker Content Trust, legacy. Current mechanisms are Sigstore Cosign and Notary Project Notation, enforced at admission; added the cosign verify identity-flag defect
references/cloud-and-iac.md#L160-L161	cloud-and-iac#Checklist item 21	corrected	Helm charts from untrusted repos and kubectl apply -f https:// restated with the checkable artifacts: version ranges, Chart.lock, oci:// digests, remote Kustomize bases on a branch ref
references/cloud-and-iac.md#L162	cloud-and-iac#Checklist item 21	preserved	operators with cluster-admin permissions, cross-referenced to item 10 for the RBAC finding
references/cloud-and-iac.md#L167	cloud-and-iac#Checklist item 5	preserved	IMDSv1 to SSRF-to-credentials; the application half now explicitly defers to web-and-api ssrf-application-path and the pair is handed to attack-chaining
references/cloud-and-iac.md#L168	cloud-and-iac#Checklist item 4	intentionally_removed	S3 bucket-name reuse/squatting after deletion: nothing in a repository establishes that a name was ever released, and the surviving CloudFront-origin concern is covered by the OAC checks. Kept out rather than shipped as an unfireable check
references/cloud-and-iac.md#L169	cloud-and-iac#Checklist item 1	corrected	INVERSION 2 (punch list section 1 item 5): an explicit Deny always wins, so no resource policy overrides an identity-based deny. Restated as the real pitfall - same-account access is granted if either policy allows, so an IAM-only review misses grants in S3, KMS, SQS, SNS, Lambda, ECR and EventBridge resource policies - plus the confused-deputy case with no aws:SourceAccount/aws:SourceArn
references/cloud-and-iac.md#L170	cloud-and-iac#Checklist item 4	corrected	CloudFront to S3 without OAC/OAI restated with the artifact (aws_cloudfront_origin_access_control plus a Service principal bucket policy conditioned on AWS:SourceArn) and paired with false positive 7
references/cloud-and-iac.md#L171	cloud-and-iac#Checklist item 7	corrected	per punch list item 41: the own-account root ARN with kms:* is AWS’s default key policy and delegates to IAM. Split into Principal:* / org-wide with no aws:PrincipalOrgID, and a foreign-account root; added kms:ViaService, kms:CallerAccount and CreateGrant
references/cloud-and-iac.md#L174	cloud-and-iac#Checklist item 1	corrected	multi-tenant app when single-tenant intended: kept as an Entra ID finding; "Azure AD"/"AAD" removed as a search term because it matches prose, not configuration
references/cloud-and-iac.md#L175	cloud-and-iac#Checklist item 1	corrected	storage account keys vs SAS vs Entra ID: renamed, and the checkable half (a client secret alongside a federated credential) moved into item 2
references/cloud-and-iac.md#L176	cloud-and-iac#Checklist item 14	preserved	Logic Apps / Function HTTP triggers defaulting to "anyone with the URL", restated as authLevel: anonymous
references/cloud-and-iac.md#L177	cloud-and-iac#Checklist item 1	preserved	managed identity scope too broad, restated as the role-assignment scope artifact
references/cloud-and-iac.md#L180	cloud-and-iac#Severity calibration	preserved	default Compute SA on GKE nodes holds Editor: graded High with the establishing artifact
references/cloud-and-iac.md#L181	cloud-and-iac#Checklist item 3	preserved	cross-project access via shared VPC without explicit IAM
references/cloud-and-iac.md#L182	cloud-and-iac#Checklist item 4	corrected	BigQuery/GCS allUsers and allAuthenticatedUsers: allAuthenticatedUsers means every Google account on earth and is not a lesser finding. Round 2: the substring-match warning was false - the two tokens share no substring, so the instruction is now to grep both
references/cloud-and-iac.md#L183	cloud-and-iac#Checklist item 14	preserved	Cloud Run --allow-unauthenticated for non-public services
references/cloud-and-iac.md#L187-L195	cloud-and-iac#Severity calibration	corrected	all nine source severity rows preserved and each given a named establishing artifact; the public-bucket row now defers the data-class uplift to hipaa/privacy, and the PHI wording is removed from this lens
docs/design/2026-07-26-recon-punch-list.md#L24-L26	cloud-and-iac#Scope + Checklist items 1, 4 + Severity calibration	corrected	section 1 item 5, both AWS authorization inversions, applied at the point of statement (Scope repudiation table), at the point of use (Checklist items 1 and 4) and at the point of grading (two re-grade rows and four severity rows)
docs/design/2026-07-26-recon-punch-list.md#L28-L42	cloud-and-iac#Scope + Checklist items 9, 10, 15	corrected	the unfireable-check table: the three cloud-and-iac rows (serviceaccounts/tokenrequest, prevent_destroy, PodSecurityPolicy) plus the docker.sock ranking and the Azure AD rename from item 39, each corrected in the Checklist and re-graded in Severity calibration
docs/design/2026-07-26-recon-punch-list.md#L35	cloud-and-iac#Checklist item 10	corrected	DIVERGENCE, reported not applied silently: the punch list replacement text says create on certificatesigningrequests/approval. Kubernetes approves a CSR by UPDATE (or patch) on the approval subresource plus the approve verb on signers, so create finds nothing - the same unfireable-check failure the table exists to remove. The lens carries the correct verbs and the divergence is stated in the item and in the task report
docs/design/2026-07-26-recon-punch-list.md#L173-L176	cloud-and-iac#Checklist item 13 + Severity calibration	corrected	item 38: Notary v1 replaced by Cosign and Notary Project Notation with admission-time enforcement
docs/design/2026-07-26-recon-punch-list.md#L1733	cloud-and-iac#Checklist item 13 + Severity calibration	corrected	DECLINED AS WRITTEN, reported not followed: the punch list states that cosign verify without --certificate-identity-regexp and --certificate-oidc-issuer "accepts anything Fulcio ever signed". That is true of cosign 1.x only - cosign 2.0 made both flags mandatory and fails without them, so a version-free finding is wrong on a current toolchain. The lens states the claim version-dependently and adds the defect that survives on 2.x: a present-but-unconstraining --certificate-identity-regexp '.*', an unanchored regexp, or --insecure-ignore-tlog/--insecure-ignore-sct
docs/design/2026-07-26-recon-punch-list.md#L177-L180	cloud-and-iac#Checklist item 1 + Scope	corrected	item 39: Entra PIM does not detect unused permissions; IAM Access Analyzer named correctly; Azure AD renamed Entra ID; Azure AD Pod Identity retired in favour of Entra Workload ID; GCP primitive roles renamed basic roles
docs/design/2026-07-26-recon-punch-list.md#L181-L184	cloud-and-iac#Checklist item 16 + Severity calibration	corrected	item 40: the kubectl describe leak mechanism is false; replaced with the accurate reasons and the docker inspect half kept
docs/design/2026-07-26-recon-punch-list.md#L185-L188	cloud-and-iac#Checklist item 7 + Known false positives 3	corrected	item 41: the default KMS key policy is not a finding; split into the two real findings with scoping conditions and CreateGrant
docs/design/2026-07-26-recon-punch-list.md#L1530-L1537	cloud-and-iac#Known false positives 1-6	preserved	section 4 cloud-and-iac block, all six entries adopted, each rewritten to name the surviving finding and its discriminator
docs/design/2026-07-26-recon-punch-list.md#L1536	cloud-and-iac#Known false positives 6 + Rejected candidates	corrected	entry 6 split: the port-list, egress and public-ALB halves are kept, and the "attached to no ENI is not an exposure" clause is REJECTED as a clearance the audit cannot establish - the same document lists SG attachment among the facts no recipe can prove. Kept as a downgrade to Medium with the assumption stated
docs/design/2026-07-26-recon-punch-list.md#L1604-L1608	cloud-and-iac#Rejected candidates	preserved	the five cloud-and-iac rejected candidates (pre-signed URLs, imagePullPolicy, CIS hygiene, replica encryption, node-agent hostPath) recorded with the punch list’s reasons and redirected to the sections that can enforce them
docs/design/2026-07-26-recon-punch-list.md#L1633	cloud-and-iac#Severity calibration + Proof recipes	preserved	section 5 second resolution: a static checker executed by the repo test runner asserting both directions is T1, not a static observation - without it every finding here caps at Medium
docs/design/2026-07-26-recon-punch-list.md#L1695-L1700	cloud-and-iac#Proof recipes P1	preserved	recipe 5.11: detector plus fixture pair over the rendered artifact, with a checked-in plan JSON accepted as the audited input when a live plan cannot be produced offline
docs/design/2026-07-26-recon-punch-list.md#L1718-L1720	cloud-and-iac#Proof recipes T2	preserved	"cloud-and-iac has almost no T1 runtime story" stated in the lens rather than left for the reader to discover; LocalStack and kind/k3d listed as the T2 set
docs/design/2026-07-26-recon-punch-list.md#L1735-L1736	cloud-and-iac#Proof recipes	intentionally_removed	the two rails-violating cloud recipes (Access Analyzer / simulate-principal-policy API calls, and runtime reachability probes to S3, a DB port and IMDS) are dropped in their remote form and replaced by P2 and the plan-time assertions; recorded in the lens so they are not reintroduced
docs/design/2026-07-26-recon-punch-list.md#L1751	cloud-and-iac#Proof recipes	preserved	live-account reachability facts listed as permanently unprovable and reported every run, which is why findings are written as configuration defects with stated reachability assumptions
docs/design/2026-07-26-recon-punch-list-repair.md#L549-L569	cloud-and-iac#Checklist	preserved	the twenty-one owned topics from the canonical registry each get exactly one numbered Checklist item and one Owns table row
mobile-app-security#baas-security-rules	cloud-and-iac#Checklist item 20	moved	firestore.rules, storage.rules, database.rules.json and firebase.json moved here per the frontmatter comment on activates_on.paths: a rules file is server-side authorization configuration and governs every client. Seam stated in Does not own
punch list section 4 preamble	cloud-and-iac#Known false positives 4	moved	cross-lens dedup: storage-encryption defaults resolve to cloud-and-iac, so hipaa’s field-level-encryption candidate lands here as the narrower CMK claim
new	cloud-and-iac#Known false positives 7	corrected	net-new entry replacing the source’s vague "verify intent" on public buckets: a bucket policy whose only grant is the CloudFront service principal with AWS:SourceArn is the private-origin pattern, with three named surviving findings so it cannot clear a real public bucket
new	cloud-and-iac#Scope	corrected	net-new "three tokens whose presence reads as safety" block: aws_s3_bucket_public_access_block with false flags, pod-security.kubernetes.io/enforce: privileged, and scanner suppression comments. Written because every one of these satisfies a naive presence grep for the control it defeats
new	cloud-and-iac#Checklist item 0	corrected	net-new absence-sweep block: six sweeps whose dangerous state is the platform default and therefore invisible to a value-keyed grep, with the caveat that a clean result is only as good as the construction list feeding it
new	cloud-and-iac#Rejected candidates	corrected	seven net-new rejections of clearances the audit cannot establish, including "IMDSv1 is fine because SDKs prefer v2" and "K8s Secrets are fine because etcd encryption is presumably on"
cloud-and-iac#frontmatter L99	CONTROLLER ACTION	corrected	signal 'kind: PodSecurityPolicy' is keyed to a feature removed in Kubernetes 1.25 and can never fire on a supported cluster. Body corrected; frontmatter edit is out of this task's scope and is reported for the controller
cloud-and-iac#frontmatter L114	CONTROLLER ACTION	corrected	signal 'FROM ...:latest' contains a literal ellipsis and cannot match any file. Suggested replacement: ':latest' plus a tag-only FROM check. Reported for the controller
cloud-and-iac#frontmatter L116	CONTROLLER ACTION	corrected	signal 'RUN curl ... | sh' contains a literal ellipsis and cannot match any file. Suggested replacement: '| sh' and '| bash'. Reported for the controller
cloud-and-iac#frontmatter L93	CONTROLLER ACTION	corrected	signal 'kubernetes (python client)' is prose, not a code literal. Suggested replacement: 'from kubernetes import client' and 'load_incluster_config'. Reported for the controller
cloud-and-iac#frontmatter frameworks	CONTROLLER ACTION	preserved	frameworks keeps cis-benchmarks UNVERSIONED deliberately - no global CIS Benchmark version exists. No frontmatter change requested; the obligation moves to the auditor via the Scope block
docs/design/2026-07-26-recon-punch-list.md#L28-L42	cloud-and-iac#Checklist item 0	corrected	Round 2 review H3: the six absence sweeps were file-granular (rg --files-without-match), so one compliant resource cleared every non-compliant sibling. Measured 5 empty results out of 6 against a 9-file fixture tree with 20 planted defects. Replaced with tf_absent / tf_count / doc_absent awk helpers that report per resource block and per YAML document, plus a count-identity check for cross-resource pairings
references/cloud-and-iac.md#L98	cloud-and-iac#Checklist item 0	corrected	Round 2 review H3: `^USER ` was per-file, not per-stage, so every multi-stage Dockerfile with USER in the builder stage was cleared while the shipped image ran as root. Replaced with dockerfile_root, which checks only the FINAL stage
references/cloud-and-iac.md#L124	cloud-and-iac#Checklist item 0	corrected	Round 2 review H3: the aws:SecureTransport sweep left side was written in JSON colon form ("Effect": "Allow"), which matches none of the HCL shapes the lens own detectors use. Widened to aws_s3_bucket_policy plus data "aws_iam_policy_document", so a policy document in its own file is examined
references/cloud-and-iac.md#L86	cloud-and-iac#Checklist item 0	corrected	Round 2 review M4: item 0 had no block for item 6 at all. Added storage_encrypted/encrypted/at_rest_encryption_enabled/transit_encryption_enabled = false and the image-and-snapshot sharing literals in all three spellings (Terraform, SDK ModifySnapshotAttribute, hyphenated AWS CLI modify-snapshot-attribute --group-names all)
references/cloud-and-iac.md#L120-L124	cloud-and-iac#Checklist item 0	corrected	Round 2 review M4: item 0 had no block for item 8 at all. Added min_tls_version, rds.force_ssl, require_secure_transport, require_ssl, ssl_mode, ssl_policy, minimum_protocol_version and both AzureRM 3.x/4.x https-only spellings
references/cloud-and-iac.md#L110	cloud-and-iac#Checklist item 0	corrected	Round 2 review M4: public_network_access_enabled = true establishes the Critical managed-database row but the network sweep had only publicly_accessible = true, which does not match it. Azure SQL and PostgreSQL Flexible Server public exposure was unswept; added with ipv4_enabled and authorized_networks
references/cloud-and-iac.md#L112	cloud-and-iac#Checklist item 0	corrected	Round 2 review M4: AuthType (AWS::Lambda::Url) and AuthorizationType (API Gateway) are different keys and the sweep had only the first, so every open API Gateway route passed. Added AuthorizationType: NONE, DefaultAuthorizer: NONE and AuthorizationLevel.Anonymous
references/cloud-and-iac.md#L115	cloud-and-iac#Checklist item 0	corrected	Round 2 review H1: the metadata sweep matched the http_put_response_hop_limit KEY, which every hardened config also carries. Split out a value grep for hop limit >= 2, the finding form
